index	dataset	column	nb_rows	value	type	nb_levels	is_row	description	controlled_term	units	term_url	isPartOf	Decision	DropReason	Notes	Annotator
0	ds000001	participant_id	16	n/a	object	16	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
1	ds000001	sex	16	n/a	object	3	TRUE	n/a	nb:Sex	n/a	n/a		keep			
2	ds000001	sex	16	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
3	ds000001	sex	16	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
4	ds000001	sex	16	M,	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
5	ds000001	age	16	n/a	int64	8	TRUE	n/a	nb:Age	n/a	n/a		keep			
6	ds000002	participant_id	17	n/a	object	17	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
7	ds000002	sex	17	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
8	ds000002	sex	17	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
9	ds000002	sex	17	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
10	ds000002	age	17	n/a	int64	8	TRUE	n/a	nb:Age	n/a	n/a		keep			
11	ds000003	participant_id	13	n/a	object	13	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
12	ds000003	sex	13	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
13	ds000003	sex	13	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
14	ds000003	sex	13	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
15	ds000003	age	13	n/a	int64	9	TRUE	n/a	nb:Age	n/a	n/a		keep			
16	ds000005	participant_id	16	n/a	object	16	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
17	ds000005	sex	16	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
18	ds000005	sex	16	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
19	ds000005	sex	16	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
20	ds000005	age	16	n/a	int64	8	TRUE	n/a	nb:Age	n/a	n/a		keep			
21	ds000006	participant_id	14	n/a	object	14	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
22	ds000006	sex	14	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
23	ds000006	sex	14	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
24	ds000006	sex	14	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
25	ds000006	age	14	n/a	int64	8	TRUE	n/a	nb:Age	n/a	n/a		keep			
26	ds000007	participant_id	20	n/a	object	20	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
27	ds000007	gender	20	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
28	ds000007	gender	20	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
29	ds000007	gender	20	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
30	ds000007	age	20	n/a	int64	10	TRUE	n/a	nb:Age	n/a	n/a		keep			
31	ds000008	participant_id	14	n/a	object	14	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
32	ds000008	sex	14	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
33	ds000008	sex	14	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
34	ds000008	sex	14	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
35	ds000008	age	14	n/a	int64	9	TRUE	n/a	nb:Age	n/a	n/a		keep			
36	ds000009	participant_id	24	n/a	object	24	TRUE	n/a	nb:ParticipantID	n/a	n/a		keep			
37	ds000009	age	24	n/a	int64	8	TRUE	n/a	nb:Age	n/a	n/a		keep			
38	ds000009	sex	24	n/a	object	2	TRUE	n/a	nb:Sex	n/a	n/a		keep			
39	ds000009	sex	24	F	n/a	0	FALSE	n/a	snomed:248152002	n/a	n/a		keep			
40	ds000009	sex	24	M	n/a	0	FALSE	n/a	snomed:248153007	n/a	n/a		keep			
41	ds000009	m_SSRTquant	24	n/a	float64	24	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949e1a	keep			AD
42	ds000009	m_NumPumps_Avg	24	n/a	float64	20	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4d559bcd67c18	keep			AD
43	ds000009	m_TotalAmt_Avg	24	n/a	float64	19	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
44	ds000009	m_NumExplAvg	24	n/a	int64	10	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
45	ds000009	m_logit_k	24	n/a	float64	20	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
46	ds000009	m_AN-SN	24	n/a	float64	21	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
47	ds000009	b_SSRTquant	24	n/a	float64	24	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:tsk_4a57abb949e1a	keep			AD
48	ds000009	b_NumPumps_Avg	24	n/a	float64	23	TRUE	n/a	nb:Assessment	n/a	n/a	cogatlas:trm_4d559bcd67c18	keep			AD
49	ds000009	b_TotalAmt_Avg	24	n/a	float64	23	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
50	ds000009	b_NumExplAvg	24	n/a	float64	15	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
51	ds000009	b_k	24	n/a	float64	22	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
52	ds000009	b_AN-SN	24	n/a	float64	21	TRUE	n/a	n/a	n/a	n/a		drop	model		
53	ds000009	GABS_TOTAL	24	n/a	int64	17	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
54	ds000009	CARE_ENGAGING-DRUG	24	n/a	int64	8	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
55	ds000009	CARE_ENGAGING-AGGR/ILLEG	24	n/a	int64	17	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
56	ds000009	CARE_ENGAGING-SEX	24	n/a	int64	8	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
57	ds000009	CARE_ENGAGING-DRINKING	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
58	ds000009	CARE_ENGAGING-SPORTS	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
59	ds000009	CARE_ENGAGING-TOTAL	24	n/a	int64	21	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
60	ds000009	CARE_NEGCONS-DRUG	24	n/a	int64	12	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
61	ds000009	CARE_NEGCONS-AGGR/ILLEG	24	n/a	int64	20	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
62	ds000009	CARE_NEGCONS-SEX	24	n/a	int64	18	TRUE	n/a	n/a	n/a	n/a		drop	ambiguous		
