dataset	nb_rows	column	type	nb_levels	description	controlled_term
ds000001	16	participant_id	object	16	n/a	nb:ParticipantID
ds000001	16	sex	object	3	n/a	n/a
ds000001	16	age	int64	8	n/a	n/a
ds000002	17	participant_id	object	17	n/a	nb:ParticipantID
ds000002	17	sex	object	2	n/a	n/a
ds000002	17	age	int64	8	n/a	n/a
ds000003	13	participant_id	object	13	n/a	nb:ParticipantID
ds000003	13	sex	object	2	n/a	n/a
ds000003	13	age	int64	9	n/a	n/a
ds000005	16	participant_id	object	16	n/a	nb:ParticipantID
ds000005	16	sex	object	2	n/a	n/a
ds000005	16	age	int64	8	n/a	n/a
ds000006	14	participant_id	object	14	n/a	nb:ParticipantID
ds000006	14	sex	object	2	n/a	n/a
ds000006	14	age	int64	8	n/a	n/a
ds000007	20	participant_id	object	20	n/a	nb:ParticipantID
ds000007	20	gender	object	2	n/a	n/a
ds000007	20	age	int64	10	n/a	n/a
ds000008	14	participant_id	object	14	n/a	nb:ParticipantID
ds000008	14	sex	object	2	n/a	n/a
ds000008	14	age	int64	9	n/a	n/a
ds000009	24	participant_id	object	24	n/a	nb:ParticipantID
ds000009	24	age	int64	8	n/a	n/a
ds000009	24	sex	object	2	n/a	n/a
ds000009	24	m_SSRTquant	float64	24	n/a	n/a
ds000009	24	m_NumPumps_Avg	float64	20	n/a	n/a
ds000009	24	m_TotalAmt_Avg	float64	19	n/a	n/a
ds000009	24	m_NumExplAvg	int64	10	n/a	n/a
ds000009	24	m_logit_k	float64	20	n/a	n/a
ds000009	24	m_AN-SN	float64	21	n/a	n/a
ds000009	24	b_SSRTquant	float64	24	n/a	n/a
ds000009	24	b_NumPumps_Avg	float64	23	n/a	n/a
ds000009	24	b_TotalAmt_Avg	float64	23	n/a	n/a
ds000009	24	b_NumExplAvg	float64	15	n/a	n/a
ds000009	24	b_k	float64	22	n/a	n/a
ds000009	24	b_AN-SN	float64	21	n/a	n/a
ds000009	24	GABS_TOTAL	int64	17	n/a	n/a
ds000009	24	CARE_ENGAGING-DRUG	int64	8	n/a	n/a
ds000009	24	CARE_ENGAGING-AGGR/ILLEG	int64	17	n/a	n/a
ds000009	24	CARE_ENGAGING-SEX	int64	8	n/a	n/a
ds000009	24	CARE_ENGAGING-DRINKING	int64	12	n/a	n/a
ds000009	24	CARE_ENGAGING-SPORTS	int64	12	n/a	n/a
ds000009	24	CARE_ENGAGING-TOTAL	int64	21	n/a	n/a
ds000009	24	CARE_NEGCONS-DRUG	int64	12	n/a	n/a
ds000009	24	CARE_NEGCONS-AGGR/ILLEG	int64	20	n/a	n/a
ds000009	24	CARE_NEGCONS-SEX	int64	18	n/a	n/a
ds000009	24	CARE_NEGCONS-DRINKING	int64	13	n/a	n/a
ds000009	24	CARE_NEGCONS-SPORTS	int64	10	n/a	n/a
ds000009	24	CARE_NEGCONS-TOTAL	int64	19	n/a	n/a
ds000009	24	CARE_POSCONS-DRUG	int64	10	n/a	n/a
ds000009	24	CARE_POSCONS-AGGR/ILLEG	int64	12	n/a	n/a
ds000009	24	CARE_POSCONS-SEX	int64	16	n/a	n/a
ds000009	24	CARE_POSCONS-DRINKING	int64	12	n/a	n/a
ds000009	24	CARE_POSCONS-SPORTS	int64	13	n/a	n/a
ds000009	24	CARE_POSCONS-TOTAL	int64	21	n/a	n/a
ds000009	24	NEED	int64	16	n/a	n/a
ds000009	24	FOR	int64	4	n/a	n/a
ds000009	24	COG_TOTAL	int64	6	n/a	n/a
ds000009	24	COG	int64	4	n/a	n/a
ds000009	24	REFLECTION_NUM	int64	17	n/a	n/a
ds000009	24	CORR	int64	21	n/a	n/a
ds000009	24	COG.1	int64	18	n/a	n/a
ds000009	24	REFLECTION_CONFIDENCE	int64	20	n/a	n/a
ds000009	24	COG.2	int64	24	n/a	n/a
ds000009	24	REFLECTION_NUM.1	int64	12	n/a	n/a
ds000009	24	SEEN	int64	12	n/a	n/a
ds000009	24	SENS	int64	11	n/a	n/a
ds000009	24	SEEK_BOREDOM	int64	16	n/a	n/a
ds000009	24	SENS.1	int64	8	n/a	n/a
ds000009	24	SEEK_DISINHIB	int64	11	n/a	n/a
ds000009	24	SENS.2	int64	8	n/a	n/a
ds000009	24	SEEK_EXP	int64	13	n/a	n/a
ds000009	24	SEEK	int64	14	n/a	n/a
ds000009	24	SENS.3	int64	13	n/a	n/a
ds000009	24	SEEK_THRILL	int64	15	n/a	n/a
ds000009	24	SEEK.1	int64	16	n/a	n/a
ds000009	24	SENS.4	int64	19	n/a	n/a
ds000009	24	SEEK_TOTAL	int64	14	n/a	n/a
ds000009	24	BIS_ATTN	int64	21	n/a	n/a
ds000009	24	BIS_MOTOR	int64	14	n/a	n/a
ds000009	24	BIS_NP	int64	14	n/a	n/a
ds000009	24	BIS_TOTAL	int64	14	n/a	n/a
ds000009	24	BIS/BAS_BAS-REWRESP	int64	15	n/a	n/a
