dataset	column	value	is_row	description	controlled_term	units
ds000001	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000001	sex	n/a	True	n/a	n/a	n/a
ds000001	age	n/a	True	n/a	n/a	n/a
ds000002	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000002	sex	n/a	True	n/a	n/a	n/a
ds000002	age	n/a	True	n/a	n/a	n/a
ds000003	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000003	sex	n/a	True	n/a	n/a	n/a
ds000003	age	n/a	True	n/a	n/a	n/a
ds000005	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000005	sex	n/a	True	n/a	n/a	n/a
ds000005	age	n/a	True	n/a	n/a	n/a
ds000006	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000006	sex	n/a	True	n/a	n/a	n/a
ds000006	age	n/a	True	n/a	n/a	n/a
ds000007	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000007	gender	n/a	True	n/a	n/a	n/a
ds000007	age	n/a	True	n/a	n/a	n/a
ds000008	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000008	sex	n/a	True	n/a	n/a	n/a
ds000008	age	n/a	True	n/a	n/a	n/a
ds000009	participant_id	n/a	True	n/a	nb:ParticipantID	n/a
ds000009	age	n/a	True	n/a	n/a	n/a
ds000009	sex	n/a	True	n/a	n/a	n/a
ds000009	m_SSRTquant	n/a	True	n/a	n/a	n/a
ds000009	m_NumPumps_Avg	n/a	True	n/a	n/a	n/a
ds000009	m_TotalAmt_Avg	n/a	True	n/a	n/a	n/a
ds000009	m_NumExplAvg	n/a	True	n/a	n/a	n/a
ds000009	m_NumExplAvg	5	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	6	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	7	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	8	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	10	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	11	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	12	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	13	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	14	False	n/a	n/a	n/a
ds000009	m_NumExplAvg	15	False	n/a	n/a	n/a
ds000009	m_logit_k	n/a	True	n/a	n/a	n/a
ds000009	m_AN-SN	n/a	True	n/a	n/a	n/a
ds000009	b_SSRTquant	n/a	True	n/a	n/a	n/a
ds000009	b_NumPumps_Avg	n/a	True	n/a	n/a	n/a
ds000009	b_TotalAmt_Avg	n/a	True	n/a	n/a	n/a
ds000009	b_NumExplAvg	n/a	True	n/a	n/a	n/a
ds000009	b_k	n/a	True	n/a	n/a	n/a
ds000009	b_AN-SN	n/a	True	n/a	n/a	n/a
ds000009	GABS_TOTAL	n/a	True	n/a	n/a	n/a
ds000009	GABS_TOTAL	70	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	72	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	75	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	76	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	77	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	81	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	82	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	84	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	85	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	86	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	87	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	89	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	91	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	92	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	96	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	105	False	n/a	n/a	n/a
ds000009	GABS_TOTAL	63	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	n/a	True	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	2	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	3	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	4	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	6	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	11	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	15	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	18	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-DRUG	19	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	n/a	True	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	9	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	10	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	11	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	12	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	13	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	14	False	n/a	n/a	n/a
ds000009	CARE_ENGAGING-AGGR/ILLEG	15	False	n/a	n/a	n/a
